country_code,country_name,region,income_level,capital_city,longitude,latitude
99041,Belgium and Luxembourg,Unknown,Unknown,,,
99079,Large Marine Ecosystem: Benguela Current,Unknown,Unknown,,,
753,Eastern and South-Eastern Asia,Unknown,Unknown,,,
903,Central and Eastern Europe (ILO),Unknown,Unknown,,,
921,ODA residual,Unknown,Unknown,,,
99095,Large Marine Ecosystem: Northwest Australian Shelf,Unknown,Unknown,,,
583,Micronesia (Federated States of),Unknown,Unknown,,,
574,Norfolk Island,Unknown,Unknown,,,
906,North America (ILO),Unknown,Unknown,,,
99028,"FAO Major Fishing Area: Atlantic, Western Central",Unknown,Unknown,,,
99030,"FAO Major Fishing Area: Atlantic, Southwest",Unknown,Unknown,,,
99048,WHO Global,Unknown,Unknown,,,
